RULE_ID,BUDGET CATEGORY,CATEGORY DETAIL,MERCHANT KEY WORDS,MERCHANT KEY WORDS.1,MERCHANT KEY WORDS.2,MERCHANT KEY WORDS.3,MERCHANT KEY WORDS.4,MERCHANT KEY WORDS.5,MERCHANT KEY WORDS.6,MERCHANT KEY WORDS.7,MERCHANT KEY WORDS.8,MERCHANT KEY WORDS.9,MERCHANT KEY WORDS.10,MERCHANT KEY WORDS.11,MERCHANT KEY WORDS.12,MERCHANT KEY WORDS.13,MERCHANT KEY WORDS.14,MERCHANT KEY WORDS.15,MERCHANT KEY WORDS.16,MERCHANT KEY WORDS.17,MERCHANT KEY WORDS.18,MERCHANT KEY WORDS.19,MERCHANT KEY WORDS.20,MERCHANT KEY WORDS.21,MERCHANT KEY WORDS.22,MERCHANT KEY WORDS.23,MERCHANT KEY WORDS.24,MERCHANT KEY WORDS.25,MERCHANT KEY WORDS.26,MERCHANT KEY WORDS.27,MERCHANT KEY WORDS.28,MERCHANT KEY WORDS.29
15,SHOPPING,Misc.,amazon prime,kelly kettle,lee valley,sports exp,amzn mktp,tws usa,amazon,canadian,kettle,valley,sports,unplug,kelly,prime,ottaw,mktp,amzn,dist,gost,rose,tire,dollarama,chlorophylle,borealfolk,marshalls,walmart.ca,chaletwow.com,jump,biscotti,comptoir
16,TAXES,Tax payment,csscv taxes,csscv,taxes,csscv-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TRANSPORTATION,Vehicle (Ferry),bourbonnais,traversier,ferry,sq *traversiers _f,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TRANSPORTATION,Vehicle (Lease),gmc lease,financiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TRANSPORTATION,Vehicle (Permits),saaq permis,club lions,saaq saa,permis,lions,saaq,club,permit license,saaq,sq *origine ecr _f,,,,,,,,,,,,,,,,,,,,
20,TRANSPORTATION,Vehicle (Repairs maint),repairs,mecan,buic,air-serv,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TRANSPORTATION,Vehicles (Gas),petro canada,esso circle,couche tard,esso couche,circle,couche,petro,esso,tard,ultramar,o dep,o,o dep _f,,,,,,,,,,,,,,,,,
22,TRANSPORTATION,Vehicles (Parking),parking,a30,ecotank,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UTILITIES,Utilities (Cell),bell mobility fac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,UTILITIES,Utilities (Home Phone),bell canada,bell,bell canada fac,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UTILITIES,Utilities (Hydro),hydro quebec,quebec,hydro,hydro-quebec fac,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WORK EXPENSES,Work Rel Exp,uber canada,uber trip,yul relay,cpc scp,canada,relay,micro,uber,trip,cpc,workaway,coworkly,hurleys&,,,,,,,,,,,,,,,,,
27,PAYMENT,PAYMENT,thank you,thank,payment - thank you,paiement merci,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PAYROLL,-,payroll,paie,paie/payroll     pay,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TRANSFER CHQ,-,tfr-de 6087975,6087975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRANSFERS,Internal,transfer,virement,tfr-to,tfr-a,tfr to,tfr a,,,,,,,,,,,,,,,,,,,,,,,,
31,OTHER INCOME,FARM,recept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OTHER INCOME,Vehicle Allowance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,OTHER INCOME,Misc.,recept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,INTERNAL BANK,Ignore,annul.,6127039,rh325,tfr-to 6127039,,,,,,,,,,,,,,,,,,,,,,,,,,
